,fs_method,fs_method_kwargs,selected_features,n_selected_features,score,time,data_dir,extractor,vm,objective_fn,target_col,num_features,timestamp,duration [s],emissions_rate [kg/s],cpu_power [W],ram_power [W],cpu_energy [kWh],ram_energy [kWh],energy_consumed [kWh]
0,RS,{'num_samples': 10},[1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1],21,0.0,1.4405512809753418,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T17:01:47,1.441583509999873,7.4619101709723954e-06,97.5,2.888402938842773,3.903849161874576e-05,1.1561360859053486e-06,4.019462770465111e-05
1,RS,{'num_samples': 25},[0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1],27,0.0,3.551713228225708,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T17:01:52,3.552702984000007,7.462502519391125e-06,97.5,2.888402938842773,9.621535134791182e-05,2.8499533308829613e-06,9.906530467879478e-05
2,RS,{'num_samples': 50},[0 0 1 1 1 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1],22,0.0,7.019644260406494,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T17:02:00,7.0205676189998485,7.4627044613547456e-06,97.5,2.888402938842773,0.0001901378610354,5.632371948247182e-06,0.00019577023298364716
3,RS,{'num_samples': 75},[1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1],26,0.0,10.270440816879272,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T17:02:12,10.271366726999986,7.462724064583115e-06,97.5,2.888402938842773,0.0002781797179687,8.24058996460345e-06,0.00028642030793330343
4,RS,{'num_samples': 100},[0 1 1 0 0 0 0 1 0 1 1 0 0 0 0 0 0 1 1 0 1 0 0 0 1 1 0 0],10,0.0,13.63842487335205,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T17:02:26,13.639408162000109,7.462737697800945e-06,97.5,2.888402938842773,0.0003693970448729,1.0942857923755867e-05,0.00038033990279665584
5,RS,{'num_samples': 150},[1 1 0 0 0 0 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0 0 0 1 0 1 0],11,0.0,20.45272207260132,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T17:02:48,20.45373991099996,7.462680601486966e-06,97.5,2.888402938842773,0.0005539467519895,1.640892901452005e-05,0.00057035568100402
6,RS,{'num_samples': 200},[0 1 1 0 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 0 0 1 1 0 0 0 1 0],18,0.0,27.176939487457275,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T17:03:17,27.177916133000053,7.462748627354156e-06,97.5,2.888402938842773,0.0007360623742062,2.180490245968732e-05,0.0007578672766658873
7,RS,{'num_samples': 250},[1 1 0 1 1 0 1 0 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 0 1 1 1 1],22,0.0,34.179091453552246,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T17:03:52,34.179955756000254,7.462700289590094e-06,97.5,2.888402938842773,0.0009256949962812,2.7420837687845497e-05,0.0009531158339690456
8,RS,{'num_samples': 500},[1 1 1 1 0 1 1 0 1 1 0 1 1 1 1 1 1 1 1 0 0 0 1 1 1 0 1 1],21,0.0,68.13904786109924,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T17:05:02,68.13997095199966,7.462527824047642e-06,97.5,2.888402938842773,0.0018453920837083,5.46625798062452e-05,0.0019000546635145452
9,RS,{'num_samples': 10},[0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0],4,0.014230923841817157,1.1396722793579102,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28,2025-03-12T17:05:04,1.140496727000027,7.462072082753218e-06,97.5,2.888402938842773,3.088570371249754e-05,9.14629544926435e-07,3.1800333257423977e-05
10,RS,{'num_samples': 25},[0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0],5,0.014230923841817157,2.8931963443756104,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28,2025-03-12T17:05:08,2.8940287079999507,7.462526850506129e-06,97.5,2.888402938842773,7.837722717499863e-05,2.3215454953542924e-06,8.069877267035293e-05
