,fs_method,fs_method_kwargs,n_selected_features,score,time,data_dir,extractor,vm,objective_fn,target_col,num_features,timestamp,duration [s],emissions_rate [kg/s],cpu_power [W],ram_power [W],cpu_energy [kWh],ram_energy [kWh],energy_consumed [kWh]
0,UpperBound,{},28,0.0,0.1900196075439453,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T16:56:22,0.1910767019999184,7.457183634918362e-06,97.5,2.888402938842773,5.1714984749978045e-06,1.527800042302264e-07,5.324278479228031e-06
1,UpperBound,{},28,0.13713045578850053,0.1325867176055908,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28,2025-03-12T16:56:23,0.1335203480000473,7.454428876278742e-06,97.5,2.888402938842773,3.612478241670658e-06,1.0664028259991444e-07,3.7191185242705724e-06
2,UpperBound,{},28,0.7825096987075806,0.2083919048309326,data/polcom/2022/Y/offline,catch22,VM02,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T16:56:25,0.2093423520000215,7.456928415954184e-06,97.5,2.888402938842773,5.665605020834145e-06,1.67439098452175e-07,5.8330441192863195e-06
3,UpperBound,{},28,4.795169940878505,0.1359658241271972,data/polcom/2022/Y/offline,catch22,VM02,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28,2025-03-12T16:56:26,0.1370313600000372,7.456089433177152e-06,97.5,2.888402938842773,3.708415966670487e-06,1.093496703480387e-07,3.817765637018526e-06
4,UpperBound,{},28,6.921097134282157,0.3160414695739746,data/polcom/2022/Y/offline,catch22,VM03,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T16:56:28,0.3171251310000116,7.458487710979866e-06,97.5,2.888402938842773,8.584253166667585e-06,2.538613844771891e-07,8.838114551144773e-06
5,UpperBound,{},28,7.500452837734821,0.2069818973541259,data/polcom/2022/Y/offline,catch22,VM03,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28,2025-03-12T16:56:29,0.207968565000101,7.4572234771598096e-06,97.5,2.888402938842773,5.628685102089056e-06,1.663095748432952e-07,5.794994676932351e-06
6,UpperBound,{},28,3.197940225636963,0.2973988056182861,data/polcom/2022/Y/offline,catch22,VM04,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T16:56:31,0.2982455200001368,7.459747758107537e-06,97.5,2.888402938842773,8.07450816250063e-06,2.3884555724825845e-07,8.313353719748888e-06
7,UpperBound,{},28,5.128520771256056,0.1753969192504882,data/polcom/2022/Y/offline,catch22,VM04,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28,2025-03-12T16:56:32,0.1762928030000239,7.4576320339917265e-06,97.5,2.888402938842773,4.7716594520797645e-06,1.4096677078371817e-07,4.912626222863483e-06
8,UpperBound,{},28,9.803905562872089,0.343907356262207,data/polcom/2022/Y/offline,catch22,VM05,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T16:56:34,0.3447734940000373,7.460189263595411e-06,97.5,2.888402938842773,9.334686724998658e-06,2.761655902495456e-07,9.610852315248204e-06
9,UpperBound,{},28,1.9557214317923282,0.3814821243286133,data/polcom/2022/Y/offline,catch22,VM05,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28,2025-03-12T16:56:36,0.3824681320002128,7.459835872091172e-06,97.5,2.888402938842773,1.0354777441668264e-05,3.063396975313873e-07,1.0661117139199651e-05
10,UpperBound,{},28,3.627308952666596,0.3441030979156494,data/polcom/2022/Y/offline,catch22,VM06,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T16:56:37,0.3449596259999907,7.459913022582298e-06,97.5,2.888402938842773,9.33936805207954e-06,2.763167804919589e-07,9.615684832571498e-06
11,UpperBound,{},28,1.479595024298204,0.4038240909576416,data/polcom/2022/Y/offline,catch22,VM06,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28,2025-03-12T16:56:39,0.40476545599995,7.4607389749880865e-06,97.5,2.888402938842773,1.0959724804161417e-05,3.2428552872471666e-07,1.1284010332886133e-05
12,UpperBound,{},28,4.369695968502026,0.327507734298706,data/polcom/2022/Y/offline,catch22,VM07,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28,2025-03-12T16:56:41,0.3283875469999202,7.46013370820365e-06,97.5,2.888402938842773,8.891008343752086e-06,2.630036908654531e-07,9.154012034617539e-06
13,UpperBound,{},28,4.695359918249586,0.20601487159729,data/polcom/2022/Y/offline,catch22,VM07,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28,2025-03-12T16:56:42,0.2068638120001651,7.45837792056492e-06,97.5,2.888402938842773,5.599591508335304e-06,1.655118388705461e-07,5.76510334720585e-06
