,fs_method,fs_method_kwargs,n_selected_features,score,time,codecarbon_task_id,data_dir,extractor,vm,objective_fn,target_col,num_features
0,BalancedWOA,"{'steps': 10, 'size': 1, 'transition_fn': 'sigmoid_transition_fn', 'temperature': 'ConstTemperature', 'scaler': 'PassTroughScaler', 'activate_best_if_empty': False, 'use_vector_correction': False, 'population_init_method': 'random'}",23,0.0,1.6111962795257568,task_0,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
1,BalancedWOA,"{'steps': 10, 'size': 1, 'transition_fn': 'sigmoid_transition_fn', 'temperature': 'LinearTemperatureDecay', 'scaler': 'PassTroughScaler', 'activate_best_if_empty': False, 'use_vector_correction': False, 'population_init_method': 'random'}",9,0.8001258110546827,1.4939193725585938,task_1,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
2,BalancedWOA,"{'steps': 10, 'size': 1, 'transition_fn': 'sigmoid_transition_fn', 'temperature': 'SigmoidTemperatureDecay', 'scaler': 'PassTroughScaler', 'activate_best_if_empty': False, 'use_vector_correction': False, 'population_init_method': 'random'}",8,0.0,1.537743330001831,task_2,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
3,BalancedWOA,"{'steps': 10, 'size': 1, 'transition_fn': 'sigmoid_transition_fn', 'temperature': 'PowerTemperatureDecay', 'scaler': 'PassTroughScaler', 'activate_best_if_empty': False, 'use_vector_correction': False, 'population_init_method': 'random'}",6,0.0,1.421976089477539,task_3,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
4,BalancedWOA,"{'steps': 10, 'size': 1, 'transition_fn': 'sigmoid_transition_fn', 'temperature': 'ConstTemperature', 'scaler': 'LocalZScoreScaler', 'activate_best_if_empty': False, 'use_vector_correction': False, 'population_init_method': 'random'}",14,0.0,1.4609127044677734,task_4,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
5,BalancedWOA,"{'steps': 10, 'size': 1, 'transition_fn': 'sigmoid_transition_fn', 'temperature': 'LinearTemperatureDecay', 'scaler': 'LocalZScoreScaler', 'activate_best_if_empty': False, 'use_vector_correction': False, 'population_init_method': 'random'}",4,0.000124335195677145,1.4006588459014893,task_5,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
6,BalancedWOA,"{'steps': 10, 'size': 1, 'transition_fn': 'sigmoid_transition_fn', 'temperature': 'SigmoidTemperatureDecay', 'scaler': 'LocalZScoreScaler', 'activate_best_if_empty': False, 'use_vector_correction': False, 'population_init_method': 'random'}",10,0.00013227768717950496,1.4167096614837646,task_6,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
7,BalancedWOA,"{'steps': 10, 'size': 1, 'transition_fn': 'sigmoid_transition_fn', 'temperature': 'PowerTemperatureDecay', 'scaler': 'LocalZScoreScaler', 'activate_best_if_empty': False, 'use_vector_correction': False, 'population_init_method': 'random'}",7,0.00013227768717950496,1.4192087650299072,task_7,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
8,BalancedWOA,"{'steps': 10, 'size': 1, 'transition_fn': 'sigmoid_transition_fn', 'temperature': 'ConstTemperature', 'scaler': 'GlobalZScoreScaler', 'activate_best_if_empty': False, 'use_vector_correction': False, 'population_init_method': 'random'}",13,0.0,1.506075143814087,task_8,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
9,BalancedWOA,"{'steps': 10, 'size': 1, 'transition_fn': 'sigmoid_transition_fn', 'temperature': 'LinearTemperatureDecay', 'scaler': 'GlobalZScoreScaler', 'activate_best_if_empty': False, 'use_vector_correction': False, 'population_init_method': 'random'}",3,0.00013227768717950496,1.4486198425292969,task_9,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
