,fs_method,fs_method_kwargs,selected_features,n_selected_features,score,time,codecarbon_task_id,data_dir,extractor,vm,objective_fn,target_col,num_features
0,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[1 0 1 1 0 0 1 1 1 1 1 1 0 1 0 1 0 0 1 0 0 0 1 0 0 1 0 0],14,0.0,397.10828709602356,task_0,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
1,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[1 0 1 0 0 1 0 0 0 0 1 1 0 1 0 0 1 0 1 0 0 1 1 0 1 0 0 0],11,0.00012029805096641836,308.76355361938477,task_1,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
2,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0],5,0.3243828333851487,349.98859763145447,task_2,data/polcom/2022/Y/offline,catch22,VM02,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
3,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[0 1 1 1 0 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0],8,17.305519047619047,309.5667088031769,task_3,data/polcom/2022/Y/offline,catch22,VM02,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
4,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[1 0 0 0 1 0 1 1 1 0 1 0 0 0 0 1 0 0 1 1 0 1 0 1 1 1 0 0],13,31.625281927710837,584.872638463974,task_4,data/polcom/2022/Y/offline,catch22,VM03,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
5,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[0 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 0],6,52.72328279824289,342.63786125183105,task_5,data/polcom/2022/Y/offline,catch22,VM03,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
6,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 1 0 1 0 0 0 0 1 0 0 0 0],9,7.39913734939759,503.7652304172516,task_6,data/polcom/2022/Y/offline,catch22,VM04,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
7,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[1 1 0 1 0 0 0 0 0 1 0 1 0 0 0 0 0 1 1 0 1 0 1 1 0 0 0 1],11,20.680189156626508,364.3760769367218,task_7,data/polcom/2022/Y/offline,catch22,VM04,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
8,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 1 1],8,45.41476882440477,522.8081316947937,task_8,data/polcom/2022/Y/offline,catch22,VM05,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
9,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[0 1 0 0 0 1 0 1 0 1 1 0 1 0 0 1 0 0 0 0 0 1 1 1 0 0 1 1],12,2.524970080368254,636.7377133369446,task_9,data/polcom/2022/Y/offline,catch22,VM05,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
10,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 1 0 1 0],7,10.166632711100313,495.8249423503876,task_10,data/polcom/2022/Y/offline,catch22,VM06,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
11,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[0 1 0 0 1 0 1 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 1 1 0 0 1 1],10,1.9435883786794546,647.4521527290344,task_11,data/polcom/2022/Y/offline,catch22,VM06,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
12,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 1 0 0 0],6,13.462283526785715,485.6495201587677,task_12,data/polcom/2022/Y/offline,catch22,VM07,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
13,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[0 1 1 0 0 0 1 0 0 1 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 1 0],9,19.515833333333337,414.54777359962463,task_13,data/polcom/2022/Y/offline,catch22,VM07,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
14,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[1 0 1 0 1 0 1 0 0 1 1 0 0 1 0 0 0 1 1 1 0 0 1 1 0 0 0 1],13,4.315840476190477,592.9293122291565,task_14,data/polcom/2022/Y/offline,catch22,VM08,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
15,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}",[0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 1 1 1 0 1 1 0 1 1 0 0 1 0],12,1.7009696377685772,662.9429836273193,task_15,data/polcom/2022/Y/offline,catch22,VM08,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
16,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}","[0 0 1 1 0 1 0 0 0 0 0 0 0 1 0 1 0 1 1 1 1 0 0 0 0 0 0 1 0 0 0 1 1 1 1 1 0 1 1 1 1 1 0 1 0 1 1 0 1 0 1 1 1 1 1 1 1 1 0 0 1 0 1 1 0 1 1 1 1 0 1 0 0 0 1 1 0 0 0 1 0 0 1 1 0 0 0 0 1 1 0 1 1 0 1 0 0 1 1 1 1 1 1 1 0 0 0 1 0 0 1 0 0 0 1 1 1]",62,0.0,863.675745010376,task_16,data/polcom/2022/Y/offline,tsfel,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
17,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}","[0 0 1 0 0 1 1 1 1 0 0 0 1 1 1 0 1 0 1 0 1 0 0 0 0 0 1 0 1 0 1 0 0 0 1 1 1 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 1 1 1 0 1 1 1 1 0 1 1 0 1 1 1 0 0 0 0 0 0 1 1 0 1 0 1 0 0 0 0 0 1 0 1 0 0 1 0 1 1 0 1 1 0 0 1 0 0 0 0 1 0 1 0 0 0 1 0 1]",51,0.00020251919339164237,519.7221581935883,task_17,data/polcom/2022/Y/offline,tsfel,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
18,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}","[0 1 0 0 0 0 1 1 1 1 0 1 1 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 1 1 0 0 0 1 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 1 0 0 1 0 0 1 0 0 1 0 1 1 1 1 0 0 1 1 0 0 0 1 1 0 0 1 1 1 0 1 1 0 0 0 0 1 0 1 0 0 0 1 0]",47,0.43530861224417305,1014.5447516441345,task_18,data/polcom/2022/Y/offline,tsfel,VM02,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
19,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}","[0 1 0 0 0 0 1 1 0 1 1 1 0 0 0 0 1 0 0 1 0 1 0 1 0 1 1 0 1 1 0 1 0 1 1 1 0 1 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 0 1 0 1 1 0 1 1 1 0 0 0 0 0 0 1 1 0 0 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0]",45,17.85460776252824,429.2311809062958,task_19,data/polcom/2022/Y/offline,tsfel,VM02,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
20,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}","[1 0 0 1 0 0 0 0 1 1 1 1 1 0 1 1 1 0 0 0 0 1 0 1 1 0 0 1 0 1 0 0 0 1 1 0 1 1 0 1 1 0 0 1 0 0 0 1 1 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 1 1 1 1 1 0 0 1 0 1 1 0 0 1 0 1 0 1 1 1 0 0 0 1 1 0 0 1 0 1 1 0 0 0 1 0 0 1 1 1 1 0 1 1 0 0 0]",56,43.855533734939755,1917.1059076786041,task_20,data/polcom/2022/Y/offline,tsfel,VM03,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
21,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}","[0 1 1 0 0 1 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 1 0 1 0 1 1 0 0 1 1 0 0 0 0 1 1 0 1 0 0 1 1 0 1 1 0 1 0 0 0 1 0 1 1 1 0 0 0 1 0 1 1 1 1 1 1 0 0 1 0 0 0 0 0 0 1 0 1 0 0 0 1 1 0 1 0 1 0 0 0 0 0 0 0 1 1 1 1 0 1 0 0 0 0 0 1 1 0 1 1 1 1 0 0 1]",55,54.13659277108434,844.0038764476776,task_21,data/polcom/2022/Y/offline,tsfel,VM03,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
22,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}","[1 1 1 0 1 0 0 0 0 1 1 1 0 1 0 0 1 0 0 1 1 1 0 0 1 1 1 0 1 1 0 0 0 0 1 1 1 1 0 0 1 0 1 0 1 1 0 0 1 1 1 0 0 0 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 1 0 0 0 0 1 1 1 0 1 0 0 0 1 1 1 1 1 0 0 0 0 1 0 1 1 0 0 0 0 1 0 1 1 1]",52,9.12045060240964,1726.454740524292,task_22,data/polcom/2022/Y/offline,tsfel,VM04,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
23,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}","[1 1 0 1 0 0 1 0 1 0 1 1 0 0 1 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 1 0 0 1 0 1 1 0 1 0 1 0 1 1 0 0 1 1 1 0 0 0 0 1 1 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 0 0 1 1 0 0 1 0]",44,22.451686746987953,794.7276680469513,task_23,data/polcom/2022/Y/offline,tsfel,VM04,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,117
24,GA,"{'num_evaluations': 1500, 'pop_size': 30, 'num_parents_mating': 8}","[1 0 1 0 1 0 1 1 1 1 0 0 0 1 0 0 1 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 0 0 1 0 0 1 1 0 1 1 1 1 1 0 1 0 0 1 1 0 0 1 1 1 0 1 1 0 0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 1 0 1 0 0 0 1 0 0 1 1 0 1 1 1 1 0 0 0 0 1 0 0 1 1 1 0 1 0 1 1 0 0 1 1 0 0 1 0 1]",55,54.3103869047619,2057.707450389862,task_24,data/polcom/2022/Y/offline,tsfel,VM05,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,117
