,fs_method,fs_method_kwargs,selected_features,n_selected_features,score,time,codecarbon_task_id,data_dir,extractor,vm,objective_fn,target_col,num_features
0,RS,{'num_samples': 1500},[1 1 1 1 1 0 0 1 1 1 0 1 1 1 0 1 1 1 0 1 1 0 0 1 1 1 1 1],21,0.0,206.14102005958557,task_0,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
1,RS,{'num_samples': 1500},[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,8.819317558190442e-05,171.09399151802063,task_1,data/polcom/2022/Y/offline,catch22,VM01,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
2,RS,{'num_samples': 1500},[1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],2,0.41413555434155763,228.10321474075317,task_2,data/polcom/2022/Y/offline,catch22,VM02,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
3,RS,{'num_samples': 1500},[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0],1,17.39557277460487,165.9417746067047,task_3,data/polcom/2022/Y/offline,catch22,VM02,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
4,RS,{'num_samples': 1500},[1 0 0 0 1 1 1 1 0 1 1 1 0 1 0 1 0 1 1 1 1 1 1 0 0 1 0 1],18,32.705755421686746,326.07421946525574,task_4,data/polcom/2022/Y/offline,catch22,VM03,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
5,RS,{'num_samples': 1500},[0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0],5,53.62310788276948,221.20770835876465,task_5,data/polcom/2022/Y/offline,catch22,VM03,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
6,RS,{'num_samples': 1500},[1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0],3,7.874119277108434,305.4271810054779,task_6,data/polcom/2022/Y/offline,catch22,VM04,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
7,RS,{'num_samples': 1500},[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0],3,20.70178462073145,209.67995953559875,task_7,data/polcom/2022/Y/offline,catch22,VM04,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
8,RS,{'num_samples': 1500},[1 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 1 0 0 1 0 0 0 1 0 0 1 1],10,58.844413095238096,342.4186565876007,task_8,data/polcom/2022/Y/offline,catch22,VM05,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
9,RS,{'num_samples': 1500},[0 1 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 0 0 1 1 1 1 0 0 1],12,2.790518573446032,365.8054699897766,task_9,data/polcom/2022/Y/offline,catch22,VM05,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
10,RS,{'num_samples': 1500},[1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0],4,10.824985252314812,344.6723749637604,task_10,data/polcom/2022/Y/offline,catch22,VM06,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
11,RS,{'num_samples': 1500},[0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0],7,1.9561455518752924,390.335382938385,task_11,data/polcom/2022/Y/offline,catch22,VM06,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
12,RS,{'num_samples': 1500},[0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0],3,13.256622388285503,329.5701129436493,task_12,data/polcom/2022/Y/offline,catch22,VM07,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
13,RS,{'num_samples': 1500},[0 1 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 1 0 1 0 0 1 1 0],9,19.76632738095238,230.34686183929443,task_13,data/polcom/2022/Y/offline,catch22,VM07,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
14,RS,{'num_samples': 1500},[1 1 1 0 1 1 1 0 0 1 1 0 0 1 0 1 1 1 1 1 0 1 1 1 1 1 0 1],20,4.603555952380953,330.07879066467285,task_14,data/polcom/2022/Y/offline,catch22,VM08,mse_objective_fn,TARGET_CPU_USAGE_PERCENT,28
15,RS,{'num_samples': 1500},[0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0],6,1.8164847195655593,375.38996624946594,task_15,data/polcom/2022/Y/offline,catch22,VM08,mse_objective_fn,TARGET_MEMORY_USAGE_PERCENT,28
